id,danhMucId,tenVatTu,anhVatTu,moTaVatTu,soLuongTonKho,thuongHieu,mauSac
27,1,Máy hút dịch y tế,../../scr/images/khong_co_anh.png,Hút dịch ra khỏi cơ thể,10,Medela,Trắng
28,1,Bàn khám y tế,../../scr/images/V28.jpg,Dùng để khám bệnh nhân,20,Paramount,Xanh lá
29,1,Ghế y tế,../../scr/images/khong_co_anh.png,Dùng cho bác sĩ hoặc nhân viên y tế ngồi khi khám bệnh,20,Sunrise Medical,Xám
30,1,Đèn mổ phẫu thuật,../../scr/images/khong_co_anh.png,Cung cấp ánh sáng cho phẫu thuật,8,Maquet,Trắng
31,2,Bình xịt khử trùng,../../scr/images/V31.jpg,Khử trùng bề mặt,50,Ecolab,Trắng
32,2,Găng tay cao su y tế,../../scr/images/khong_co_anh.png,Bảo vệ tay khỏi vi khuẩn,100,Medline,Xanh lam
33,2,Khẩu trang N95,../../scr/images/khong_co_anh.png,Bảo vệ đường hô hấp khỏi vi khuẩn,20,3M,Trắng
34,2,Mũ y tế dùng một lần,../../scr/images/khong_co_anh.png,Bảo vệ tóc và da đầu khỏi vi khuẩn,100,3M,Xanh lam
35,2,Giấy y tế,../../scr/images/khong_co_anh.png,Dùng để lau chùi hoặc thấm dịch,100,Kimberly-Clark,Trắng
36,1,Máy lọc không khí y tế,../../scr/images/khong_co_anh.png,Lọc sạch bụi bẩn và vi khuẩn trong không khí,12,Philips,Trắng
37,1,Máy tạo oxy y tế,../../scr/images/khong_co_anh.png,Cung cấp oxy cho bệnh nhân hô hấp,8,Invacare,Xanh dương
38,1,Giường y tế đa chức năng,../../scr/images/khong_co_anh.png,"Giường y tế có thể điều chỉnh độ cao, vị trí và tư thế",15,Paramount,Xanh lá
39,1,Xe đẩy y tế,../../scr/images/khong_co_anh.png,Dùng để vận chuyển bệnh nhân hoặc dụng cụ y tế,10,Sunrise Medical,Xám
40,1,Tủ lạnh y tế,../../scr/images/khong_co_anh.png,Bảo quản thuốc và các sản phẩm y tế,8,Haier,Trắng
41,2,Bọc giầy y tế,../../scr/images/khong_co_anh.png,Bảo vệ giày khỏi vi khuẩn,100,3M,Xanh lam
42,2,Mặt nạ y tế,../../scr/images/khong_co_anh.png,Bảo vệ đường hô hấp khỏi vi khuẩn,50,3M,Xanh lam
43,2,Băng cá nhân,../../scr/images/V43.jfif,Dùng để băng bó vết thương nhỏ,100,3M,Trắng
44,2,Bông băng cuộn,../../scr/images/V44.jpg,Dùng để băng bó vết thương lớn,50,Covidien,Trắng
45,2,Gạc rơ lưỡi y tế,../../scr/images/khong_co_anh.png,Vệ sinh khoang miệng cho bệnh nhân,100,Covidien,Trắng
